State,2013 PVI,Raw PVI,Rank (D to R),,,
Alabama,R+14,R+13.53,45,,,
Alaska,R+11,R+10.65,38,,,
Arizona,R+7,R+6.93,32,,,
Arkansas,R+14,R+14.05,46,,,
California,D+10,D+9.58,8,,,
Colorado,D+1,D+0.8,24,,,
Connecticut,D+7,D+7.01,11,,,
Delaware,D+8,D+7.85,9,,,
D.C.,D+40,D+40.4,1,,,
Florida,R+2,R+1.71,27,,,
Georgia,R+6,R+6.02,30,,,
Hawaii,D+20,D+19.63,2,,,
Idaho,R+18,R+17.97,48,,,
Illinois,D+7,D+7.22,10,,,
Indiana,R+6,R+6.16,31,,,
Iowa,D+1,D+1.04,21,,,
Kansas,R+13,R+12.63,42,,,
Kentucky,R+13,R+13.11,44,,,
Louisiana,R+11,R+11.32,40,,,
Maine,D+6,D+5.71,13,,,
Maryland,D+11,D+10.83,6,,,
Massachusetts,D+10,D+9.74,7,,,
Michigan,D+3,D+3.3,17,,,
Minnesota,D+2,D+1.87,19,,,
Mississippi,R+8,R+8.41,35,,,
Missouri,R+6,R+6,29,,,
Montana,R+8,R+7.96,34,,,
Nebraska,R+13,R+12.64,43,,,
Nevada,D+2,D+1.76,20,,,
New Hampshire,D+1,D+0.95,23,,,
New Jersey,D+6,D+6.31,12,,,
New Mexico,D+3,D+3.49,16,,,
New York,D+12,D+11.72,4,,,
North Carolina,R+3,R+3.13,28,,,
North Dakota,R+11,R+11.09,39,,,
Ohio,R+1,R+0.68,26,,,
Oklahoma,R+19,R+18.89,49,,,
Oregon,D+4,D+4.41,15,,,
Pennsylvania,D+1,D+0.96,22,,,
Rhode Island,D+12,D+11.67,5,,,
South Carolina,R+8,R+7.51,33,,,
South Dakota,R+10,R+10.38,37,,,
Tennessee,R+12,R+12.07,41,,,
Texas,R+10,R+9.89,36,,,
Utah,R+24,R+24.5,51,,,
Vermont,D+16,D+16.02,3,,,
Virginia,EVEN,R+0.12,25,,,
Washington,D+6,D+5.51,14,,,
West Virginia,R+14,R+14.32,47,,,
Wisconsin,D+2,D+2.01,18,,,
Wyoming,R+22,R+22.41,50,,,