State,2025 PVI,Raw PVI,"Rank (D to R)
Sortable",,,
Alabama,R+15,R+14.81,44,,,
Alaska,R+6,R+6.46,32,,,
Arizona,R+2,R+2.06,27,,,
Arkansas,R+15,R+15.31,46,,,
California,D+12,D+11.52,6,,,
Colorado,D+6,D+5.96,14,,,
Connecticut,D+8,D+8.08,8,,,
Delaware,D+8,D+8.01,9,,,
D.C.,D+44,D+43.6,1,,,
Florida,R+5,R+5.39,29,,,
Georgia,R+1,R+0.8,24,,,
Hawaii,D+13,D+12.59,5,,,
Idaho,R+18,R+18.04,48,,,
Illinois,D+6,D+6.34,13,,,
Indiana,R+9,R+9.29,36,,,
Iowa,R+6,R+6.09,31,,,
Kansas,R+8,R+8.03,33,,,
Kentucky,R+15,R+14.94,45,,,
Louisiana,R+11,R+10.75,39,,,
Maine,D+4,D+3.82,16,,,
Maryland,D+15,D+15.32,3,,,
Massachusetts,D+14,D+13.99,4,,,
Michigan,EVEN,R+0.19,21,,,
Minnesota,D+3,D+2.53,19,,,
Mississippi,R+11,R+10.78,40,,,
Missouri,R+9,R+8.97,35,,,
Montana,R+10,R+9.82,37,,,
Nebraska,R+10,R+10.27,38,,,
Nevada,R+1,R+0.88,25,,,
New Hampshire,D+2,D+1.99,20,,,
New Jersey,D+4,D+4.27,15,,,
New Mexico,D+4,D+3.68,17,,,
New York,D+8,D+7.69,11,,,
North Carolina,R+1,R+1.4,26,,,
North Dakota,R+18,R+18.33,49,,,
Ohio,R+5,R+5.27,28,,,
Oklahoma,R+17,R+17.34,47,,,
Oregon,D+8,D+7.65,12,,,
Pennsylvania,R+1,R+0.51,23,,,
Rhode Island,D+8,D+7.96,10,,,
South Carolina,R+8,R+8.28,34,,,
South Dakota,R+15,R+14.57,43,,,
Tennessee,R+14,R+14.26,42,,,
Texas,R+6,R+5.92,30,,,
Utah,R+11,R+11.01,41,,,
Vermont,D+17,D+16.86,2,,,
Virginia,D+3,D+3.49,18,,,
Washington,D+10,D+9.58,7,,,
West Virginia,R+21,R+20.96,50,,,
Wisconsin,EVEN,R+0.25,22,,,
Wyoming,R+23,R+23.23,51,,,